date,rev3q_eok,rev4q_eok,op3q_eok,op4q_eok
2026-07-20,1663.2307692,1829.8461538,227.1538462,249.46153850000002
2026-07-21,1663.5625,1879.1875,223.5625,264.5625
2026-07-22,1674.0625,1884.9375,221.375,264.125
2026-07-23,1674.6875,1893.6875,220.125,262.875
2026-07-24,1674.6875,1893.6875,220.125,262.875
2026-07-27,1674.6875,1893.6875,220.125,262.875
2026-07-28,1674.6875,1893.6875,220.125,262.875
2026-07-29,1674.6875,1893.6875,220.125,262.875
2026-07-30,1674.6875,1893.6875,220.125,262.875
2026-07-31,1674.6875,1893.6875,220.125,262.875
2026-08-03,1674.6875,1893.6875,220.125,262.875
2026-08-04,1674.6875,1893.6875,220.125,262.875
2026-08-05,1674.6875,1893.6875,220.125,262.875
2026-08-06,1674.6875,1893.6875,220.125,262.875
2026-08-07,1674.6875,1893.6875,220.125,262.875
2026-08-10,1666.9375,1950.125,215.25,276.5
2026-08-11,1664.25,1966.375,214.875,277.6875
2026-08-12,1664.25,1966.375,214.875,277.6875
2026-08-13,1664.25,1966.375,214.875,277.6875
2026-08-14,1664.25,1966.375,214.875,277.6875
2026-08-18,1664.25,1966.375,214.875,277.6875
2026-08-19,1670.5625,1966.5,215.5625,277.6875
2026-08-20,1670.5625,1966.5,215.5625,277.6875
2026-08-21,1670.5625,1966.5,215.5625,277.6875
2026-08-24,1670.5625,1966.5,215.5625,277.6875
2026-08-25,1670.5625,1966.5,215.5625,277.6875
2026-08-26,1670.5625,1966.5,215.5625,277.6875
2026-08-27,1670.5625,1966.5,215.5625,277.6875
2026-08-28,1670.5625,1966.5,215.5625,277.6875
2026-08-31,1670.5625,1966.5,215.5625,277.6875
2026-09-01,1670.5625,1966.5,215.5625,277.6875
2026-09-02,1670.5625,1966.5,215.5625,277.6875
2026-09-03,1670.5625,1966.5,215.5625,277.6875
2026-09-04,1670.5625,1966.5,215.5625,277.6875
2026-09-07,1670.5625,1966.5,215.5625,277.6875
