month,brand,keyword,searches
2025-09,beauty of joseon,beauty of joseon,90500
2025-10,beauty of joseon,beauty of joseon,90500
2025-11,beauty of joseon,beauty of joseon,110000
2025-12,beauty of joseon,beauty of joseon,110000
2026-01,beauty of joseon,beauty of joseon,110000
2026-02,beauty of joseon,beauty of joseon,90500
2026-03,beauty of joseon,beauty of joseon,110000
2026-04,beauty of joseon,beauty of joseon,110000
2026-05,beauty of joseon,beauty of joseon,110000
2026-06,beauty of joseon,beauty of joseon,110000
2026-07,beauty of joseon,beauty of joseon,110000
2018-10,biodance,biodance,210
2018-11,biodance,biodance,170
2018-12,biodance,biodance,140
2019-01,biodance,biodance,210
2019-02,biodance,biodance,210
2019-03,biodance,biodance,170
2019-04,biodance,biodance,170
2019-05,biodance,biodance,170
2019-06,biodance,biodance,140
2019-07,biodance,biodance,140
2019-08,biodance,biodance,170
2019-09,biodance,biodance,110
2019-10,biodance,biodance,90
2019-11,biodance,biodance,70
2019-12,biodance,biodance,50
2020-01,biodance,biodance,70
2020-02,biodance,biodance,90
2020-03,biodance,biodance,70
2020-04,biodance,biodance,50
2020-05,biodance,biodance,40
2020-06,biodance,biodance,70
2020-07,biodance,biodance,50
2020-08,biodance,biodance,40
2020-09,biodance,biodance,50
2020-10,biodance,biodance,50
2020-11,biodance,biodance,40
2020-12,biodance,biodance,50
2021-01,biodance,biodance,50
2021-02,biodance,biodance,40
2021-03,biodance,biodance,70
2021-04,biodance,biodance,40
2021-05,biodance,biodance,70
2021-06,biodance,biodance,70
2021-07,biodance,biodance,50
2021-08,biodance,biodance,70
2021-09,biodance,biodance,70
2021-10,biodance,biodance,90
2021-11,biodance,biodance,90
2021-12,biodance,biodance,90
2022-01,biodance,biodance,90
2022-02,biodance,biodance,70
2022-03,biodance,biodance,110
2022-04,biodance,biodance,140
2022-05,biodance,biodance,90
2022-06,biodance,biodance,140
2022-07,biodance,biodance,170
2022-08,biodance,biodance,140
2022-09,biodance,biodance,170
2022-10,biodance,biodance,140
2022-11,biodance,biodance,170
2022-12,biodance,biodance,210
2023-01,biodance,biodance,260
2023-02,biodance,biodance,260
2023-03,biodance,biodance,590
2023-04,biodance,biodance,390
2023-05,biodance,biodance,480
2023-06,biodance,biodance,320
2023-07,biodance,biodance,390
2023-08,biodance,biodance,480
2023-09,biodance,biodance,1300
2023-10,biodance,biodance,1300
2023-11,biodance,biodance,3600
2023-12,biodance,biodance,4400
2024-01,biodance,biodance,6600
2024-02,biodance,biodance,4400
2024-03,biodance,biodance,5400
2024-04,biodance,biodance,6600
2024-05,biodance,biodance,6600
2024-06,biodance,biodance,9900
2024-07,biodance,biodance,12100
2024-08,biodance,biodance,9900
2024-09,biodance,biodance,8100
2024-10,biodance,biodance,9900
2024-11,biodance,biodance,14800
2024-12,biodance,biodance,14800
2025-01,biodance,biodance,12100
2025-02,biodance,biodance,9900
2025-03,biodance,biodance,9900
2025-04,biodance,biodance,12100
2025-05,biodance,biodance,12100
2025-06,biodance,biodance,9900
2025-07,biodance,biodance,14800
2025-08,biodance,biodance,12100
2025-09,biodance,biodance,12100
2025-10,biodance,biodance,14800
2025-11,biodance,biodance,18100
2025-12,biodance,biodance,27100
2026-01,biodance,biodance,22200
2026-02,biodance,biodance,18100
2026-03,biodance,biodance,22200
2026-04,biodance,biodance,27100
2026-05,biodance,biodance,27100
2026-06,biodance,biodance,40500
2026-07,biodance,biodance,33100
2018-11,cosrx,cosrx,18100
2018-12,cosrx,cosrx,18100
2019-01,cosrx,cosrx,22200
2019-02,cosrx,cosrx,22200
2019-03,cosrx,cosrx,22200
2019-04,cosrx,cosrx,22200
2019-05,cosrx,cosrx,22200
2019-06,cosrx,cosrx,22200
2019-07,cosrx,cosrx,22200
2019-08,cosrx,cosrx,22200
2019-09,cosrx,cosrx,22200
2019-10,cosrx,cosrx,22200
2019-11,cosrx,cosrx,27100
2019-12,cosrx,cosrx,22200
2020-01,cosrx,cosrx,27100
2020-02,cosrx,cosrx,22200
2020-03,cosrx,cosrx,22200
2020-04,cosrx,cosrx,33100
2020-05,cosrx,cosrx,33100
2020-06,cosrx,cosrx,27100
2020-07,cosrx,cosrx,33100
2020-08,cosrx,cosrx,27100
2020-09,cosrx,cosrx,33100
2020-10,cosrx,cosrx,27100
2020-11,cosrx,cosrx,27100
2020-12,cosrx,cosrx,27100
2021-01,cosrx,cosrx,33100
2021-02,cosrx,cosrx,33100
2021-03,cosrx,cosrx,40500
2021-04,cosrx,cosrx,40500
2021-05,cosrx,cosrx,27100
2021-06,cosrx,cosrx,27100
2021-07,cosrx,cosrx,27100
2021-08,cosrx,cosrx,27100
2021-09,cosrx,cosrx,22200
2021-10,cosrx,cosrx,27100
2021-11,cosrx,cosrx,40500
2021-12,cosrx,cosrx,33100
2022-01,cosrx,cosrx,49500
2022-02,cosrx,cosrx,40500
2022-03,cosrx,cosrx,40500
2022-04,cosrx,cosrx,33100
2022-05,cosrx,cosrx,33100
2022-06,cosrx,cosrx,40500
2022-07,cosrx,cosrx,49500
2022-08,cosrx,cosrx,49500
2022-09,cosrx,cosrx,40500
2022-10,cosrx,cosrx,49500
2022-11,cosrx,cosrx,74000
2022-12,cosrx,cosrx,60500
2023-01,cosrx,cosrx,74000
2023-02,cosrx,cosrx,60500
2023-03,cosrx,cosrx,60500
2023-04,cosrx,cosrx,60500
2023-05,cosrx,cosrx,60500
2023-06,cosrx,cosrx,60500
2023-07,cosrx,cosrx,90500
2023-08,cosrx,cosrx,90500
2023-09,cosrx,cosrx,74000
2023-10,cosrx,cosrx,74000
2023-11,cosrx,cosrx,90500
2023-12,cosrx,cosrx,90500
2024-01,cosrx,cosrx,90500
2024-02,cosrx,cosrx,74000
2024-03,cosrx,cosrx,90500
2024-04,cosrx,cosrx,74000
2024-05,cosrx,cosrx,60500
2024-06,cosrx,cosrx,60500
2024-07,cosrx,cosrx,74000
2024-08,cosrx,cosrx,60500
2024-09,cosrx,cosrx,60500
2024-10,cosrx,cosrx,60500
2024-11,cosrx,cosrx,60500
2024-12,cosrx,cosrx,74000
2025-01,cosrx,cosrx,60500
2025-02,cosrx,cosrx,49500
2025-03,cosrx,cosrx,60500
2025-04,cosrx,cosrx,49500
2025-05,cosrx,cosrx,49500
2025-06,cosrx,cosrx,40500
2025-07,cosrx,cosrx,49500
2025-08,cosrx,cosrx,49500
2025-09,cosrx,cosrx,40500
2025-10,cosrx,cosrx,49500
2025-11,cosrx,cosrx,60500
2025-12,cosrx,cosrx,60500
2026-01,cosrx,cosrx,60500
2026-02,cosrx,cosrx,49500
2026-03,cosrx,cosrx,49500
2026-04,cosrx,cosrx,49500
2026-05,cosrx,cosrx,49500
2026-06,cosrx,cosrx,49500
2026-07,cosrx,cosrx,40500
2018-11,d'alba,d'alba,210
2018-12,d'alba,d'alba,210
2019-01,d'alba,d'alba,260
2019-02,d'alba,d'alba,320
2019-03,d'alba,d'alba,480
2019-04,d'alba,d'alba,390
2019-05,d'alba,d'alba,320
2019-06,d'alba,d'alba,320
2019-07,d'alba,d'alba,320
2019-08,d'alba,d'alba,320
2019-09,d'alba,d'alba,320
2019-10,d'alba,d'alba,390
2019-11,d'alba,d'alba,390
2019-12,d'alba,d'alba,390
2020-01,d'alba,d'alba,480
2020-02,d'alba,d'alba,480
2020-03,d'alba,d'alba,480
2020-04,d'alba,d'alba,720
2020-05,d'alba,d'alba,590
2020-06,d'alba,d'alba,880
2020-07,d'alba,d'alba,720
2020-08,d'alba,d'alba,480
2020-09,d'alba,d'alba,480
2020-10,d'alba,d'alba,480
2020-11,d'alba,d'alba,590
2020-12,d'alba,d'alba,590
2021-01,d'alba,d'alba,590
2021-02,d'alba,d'alba,880
2021-03,d'alba,d'alba,720
2021-04,d'alba,d'alba,720
2021-05,d'alba,d'alba,720
2021-06,d'alba,d'alba,720
2021-07,d'alba,d'alba,720
2021-08,d'alba,d'alba,880
2021-09,d'alba,d'alba,2900
2021-10,d'alba,d'alba,5400
2021-11,d'alba,d'alba,5400
2021-12,d'alba,d'alba,5400
2022-01,d'alba,d'alba,6600
2022-02,d'alba,d'alba,6600
2022-03,d'alba,d'alba,6600
2022-04,d'alba,d'alba,8100
2022-05,d'alba,d'alba,6600
2022-06,d'alba,d'alba,6600
2022-07,d'alba,d'alba,6600
2022-08,d'alba,d'alba,8100
2022-09,d'alba,d'alba,6600
2022-10,d'alba,d'alba,6600
2022-11,d'alba,d'alba,6600
2022-12,d'alba,d'alba,8100
2023-01,d'alba,d'alba,9900
2023-02,d'alba,d'alba,9900
2023-03,d'alba,d'alba,12100
2023-04,d'alba,d'alba,12100
2023-05,d'alba,d'alba,9900
2023-06,d'alba,d'alba,9900
2023-07,d'alba,d'alba,9900
2023-08,d'alba,d'alba,9900
2023-09,d'alba,d'alba,9900
2023-10,d'alba,d'alba,12100
2023-11,d'alba,d'alba,18100
2023-12,d'alba,d'alba,14800
2024-01,d'alba,d'alba,14800
2024-02,d'alba,d'alba,14800
2024-03,d'alba,d'alba,18100
2024-04,d'alba,d'alba,18100
2024-05,d'alba,d'alba,18100
2024-06,d'alba,d'alba,18100
2024-07,d'alba,d'alba,14800
2024-08,d'alba,d'alba,18100
2024-09,d'alba,d'alba,18100
2024-10,d'alba,d'alba,18100
2024-11,d'alba,d'alba,22200
2024-12,d'alba,d'alba,18100
2025-01,d'alba,d'alba,18100
2025-02,d'alba,d'alba,18100
2025-03,d'alba,d'alba,22200
2025-04,d'alba,d'alba,22200
2025-05,d'alba,d'alba,22200
2025-06,d'alba,d'alba,22200
2025-07,d'alba,d'alba,22200
2025-08,d'alba,d'alba,18100
2025-09,d'alba,d'alba,27100
2025-10,d'alba,d'alba,27100
2025-11,d'alba,d'alba,27100
2025-12,d'alba,d'alba,27100
2026-01,d'alba,d'alba,27100
2026-02,d'alba,d'alba,22200
2026-03,d'alba,d'alba,27100
2026-04,d'alba,d'alba,27100
2026-05,d'alba,d'alba,33100
2026-06,d'alba,d'alba,27100
2026-07,d'alba,d'alba,27100
2018-04,isntree,isntree,480
2018-05,isntree,isntree,480
2018-06,isntree,isntree,480
2018-07,isntree,isntree,320
2018-08,isntree,isntree,320
2018-09,isntree,isntree,320
2018-10,isntree,isntree,390
2018-11,isntree,isntree,590
2018-12,isntree,isntree,480
2019-01,isntree,isntree,480
2019-02,isntree,isntree,390
2019-03,isntree,isntree,480
2019-04,isntree,isntree,480
2019-05,isntree,isntree,720
2019-06,isntree,isntree,590
2019-07,isntree,isntree,720
2019-08,isntree,isntree,590
2019-09,isntree,isntree,590
2019-10,isntree,isntree,880
2019-11,isntree,isntree,880
2019-12,isntree,isntree,590
2020-01,isntree,isntree,720
2020-02,isntree,isntree,720
2020-03,isntree,isntree,880
2020-04,isntree,isntree,1000
2020-05,isntree,isntree,1600
2020-06,isntree,isntree,2400
2020-07,isntree,isntree,3600
2020-08,isntree,isntree,3600
2020-09,isntree,isntree,2400
2020-10,isntree,isntree,1900
2020-11,isntree,isntree,2400
2020-12,isntree,isntree,1900
2021-01,isntree,isntree,2400
2021-02,isntree,isntree,6600
2021-03,isntree,isntree,4400
2021-04,isntree,isntree,4400
2021-05,isntree,isntree,3600
2021-06,isntree,isntree,2900
2021-07,isntree,isntree,3600
2021-08,isntree,isntree,2900
2021-09,isntree,isntree,2400
2021-10,isntree,isntree,2900
2021-11,isntree,isntree,4400
2021-12,isntree,isntree,3600
2022-01,isntree,isntree,5400
2022-02,isntree,isntree,5400
2022-03,isntree,isntree,6600
2022-04,isntree,isntree,8100
2022-05,isntree,isntree,8100
2022-06,isntree,isntree,8100
2022-07,isntree,isntree,8100
2022-08,isntree,isntree,6600
2022-09,isntree,isntree,5400
2022-10,isntree,isntree,4400
2022-11,isntree,isntree,6600
2022-12,isntree,isntree,6600
2023-01,isntree,isntree,6600
2023-02,isntree,isntree,5400
2023-03,isntree,isntree,8100
2023-04,isntree,isntree,9900
2023-05,isntree,isntree,8100
2023-06,isntree,isntree,9900
2023-07,isntree,isntree,9900
2023-08,isntree,isntree,8100
2023-09,isntree,isntree,6600
2023-10,isntree,isntree,5400
2023-11,isntree,isntree,6600
2023-12,isntree,isntree,6600
2024-01,isntree,isntree,6600
2024-02,isntree,isntree,6600
2024-03,isntree,isntree,6600
2024-04,isntree,isntree,8100
2024-05,isntree,isntree,6600
2024-06,isntree,isntree,6600
2024-07,isntree,isntree,6600
2024-08,isntree,isntree,6600
2024-09,isntree,isntree,4400
2024-10,isntree,isntree,3600
2024-11,isntree,isntree,4400
2024-12,isntree,isntree,3600
2025-01,isntree,isntree,4400
2025-02,isntree,isntree,3600
2025-03,isntree,isntree,4400
2025-04,isntree,isntree,4400
2025-05,isntree,isntree,4400
2025-06,isntree,isntree,4400
2025-07,isntree,isntree,4400
2025-08,isntree,isntree,3600
2025-09,isntree,isntree,2900
2025-10,isntree,isntree,2900
2025-11,isntree,isntree,2900
2025-12,isntree,isntree,2900
2026-01,isntree,isntree,2900
2026-02,isntree,isntree,2400
2026-03,isntree,isntree,3600
2026-04,isntree,isntree,3600
2026-05,isntree,isntree,3600
2026-06,isntree,isntree,3600
2026-07,isntree,isntree,3600
2018-10,laneige,laneige,27100
2018-11,laneige,laneige,33100
2018-12,laneige,laneige,33100
2019-01,laneige,laneige,33100
2019-02,laneige,laneige,33100
2019-03,laneige,laneige,33100
2019-04,laneige,laneige,33100
2019-05,laneige,laneige,33100
2019-06,laneige,laneige,33100
2019-07,laneige,laneige,40500
2019-08,laneige,laneige,33100
2019-09,laneige,laneige,33100
2019-10,laneige,laneige,33100
2019-11,laneige,laneige,49500
2019-12,laneige,laneige,60500
2020-01,laneige,laneige,49500
2020-02,laneige,laneige,40500
2020-03,laneige,laneige,40500
2020-04,laneige,laneige,60500
2020-05,laneige,laneige,49500
2020-06,laneige,laneige,33100
2020-07,laneige,laneige,40500
2020-08,laneige,laneige,40500
2020-09,laneige,laneige,33100
2020-10,laneige,laneige,33100
2020-11,laneige,laneige,60500
2020-12,laneige,laneige,60500
2021-01,laneige,laneige,60500
2021-02,laneige,laneige,49500
2021-03,laneige,laneige,49500
2021-04,laneige,laneige,60500
2021-05,laneige,laneige,49500
2021-06,laneige,laneige,40500
2021-07,laneige,laneige,40500
2021-08,laneige,laneige,40500
2021-09,laneige,laneige,40500
2021-10,laneige,laneige,49500
2021-11,laneige,laneige,90500
2021-12,laneige,laneige,90500
2022-01,laneige,laneige,90500
2022-02,laneige,laneige,74000
2022-03,laneige,laneige,74000
2022-04,laneige,laneige,74000
2022-05,laneige,laneige,60500
2022-06,laneige,laneige,60500
2022-07,laneige,laneige,74000
2022-08,laneige,laneige,60500
2022-09,laneige,laneige,74000
2022-10,laneige,laneige,110000
2022-11,laneige,laneige,201000
2022-12,laneige,laneige,165000
2023-01,laneige,laneige,135000
2023-02,laneige,laneige,90500
2023-03,laneige,laneige,90500
2023-04,laneige,laneige,90500
2023-05,laneige,laneige,90500
2023-06,laneige,laneige,74000
2023-07,laneige,laneige,90500
2023-08,laneige,laneige,90500
2023-09,laneige,laneige,90500
2023-10,laneige,laneige,110000
2023-11,laneige,laneige,246000
2023-12,laneige,laneige,246000
2024-01,laneige,laneige,201000
2024-02,laneige,laneige,165000
2024-03,laneige,laneige,165000
2024-04,laneige,laneige,135000
2024-05,laneige,laneige,135000
2024-06,laneige,laneige,135000
2024-07,laneige,laneige,135000
2024-08,laneige,laneige,110000
2024-09,laneige,laneige,135000
2024-10,laneige,laneige,165000
2024-11,laneige,laneige,301000
2024-12,laneige,laneige,301000
2025-01,laneige,laneige,165000
2025-02,laneige,laneige,165000
2025-03,laneige,laneige,165000
2025-04,laneige,laneige,201000
2025-05,laneige,laneige,165000
2025-06,laneige,laneige,135000
2025-07,laneige,laneige,135000
2025-08,laneige,laneige,135000
2025-09,laneige,laneige,135000
2025-10,laneige,laneige,135000
2025-11,laneige,laneige,246000
2025-12,laneige,laneige,246000
2026-01,laneige,laneige,201000
2026-02,laneige,laneige,135000
2026-03,laneige,laneige,110000
2026-04,laneige,laneige,110000
2026-05,laneige,laneige,90500
2026-06,laneige,laneige,74000
2026-07,laneige,laneige,90500
2018-10,madeca cream,madeca cream,210
2018-11,madeca cream,madeca cream,170
2018-12,madeca cream,madeca cream,210
2019-01,madeca cream,madeca cream,170
2019-02,madeca cream,madeca cream,170
2019-03,madeca cream,madeca cream,170
2019-04,madeca cream,madeca cream,110
2019-05,madeca cream,madeca cream,110
2019-06,madeca cream,madeca cream,140
2019-07,madeca cream,madeca cream,140
2019-08,madeca cream,madeca cream,170
2019-09,madeca cream,madeca cream,170
2019-10,madeca cream,madeca cream,140
2019-11,madeca cream,madeca cream,170
2019-12,madeca cream,madeca cream,140
2020-01,madeca cream,madeca cream,140
2020-02,madeca cream,madeca cream,90
2020-03,madeca cream,madeca cream,90
2020-04,madeca cream,madeca cream,140
2020-05,madeca cream,madeca cream,170
2020-06,madeca cream,madeca cream,210
2020-07,madeca cream,madeca cream,210
2020-08,madeca cream,madeca cream,140
2020-09,madeca cream,madeca cream,110
2020-10,madeca cream,madeca cream,140
2020-11,madeca cream,madeca cream,170
2020-12,madeca cream,madeca cream,140
2021-01,madeca cream,madeca cream,210
2021-02,madeca cream,madeca cream,140
2021-03,madeca cream,madeca cream,140
2021-04,madeca cream,madeca cream,110
2021-05,madeca cream,madeca cream,140
2021-06,madeca cream,madeca cream,170
2021-07,madeca cream,madeca cream,140
2021-08,madeca cream,madeca cream,110
2021-09,madeca cream,madeca cream,110
2021-10,madeca cream,madeca cream,140
2021-11,madeca cream,madeca cream,260
2021-12,madeca cream,madeca cream,210
2022-01,madeca cream,madeca cream,210
2022-02,madeca cream,madeca cream,140
2022-03,madeca cream,madeca cream,210
2022-04,madeca cream,madeca cream,140
2022-05,madeca cream,madeca cream,210
2022-06,madeca cream,madeca cream,140
2022-07,madeca cream,madeca cream,210
2022-08,madeca cream,madeca cream,170
2022-09,madeca cream,madeca cream,170
2022-10,madeca cream,madeca cream,170
2022-11,madeca cream,madeca cream,260
2022-12,madeca cream,madeca cream,320
2023-01,madeca cream,madeca cream,320
2023-02,madeca cream,madeca cream,210
2023-03,madeca cream,madeca cream,260
2023-04,madeca cream,madeca cream,320
2023-05,madeca cream,madeca cream,260
2023-06,madeca cream,madeca cream,260
2023-07,madeca cream,madeca cream,1300
2023-08,madeca cream,madeca cream,720
2023-09,madeca cream,madeca cream,480
2023-10,madeca cream,madeca cream,480
2023-11,madeca cream,madeca cream,590
2023-12,madeca cream,madeca cream,720
2024-01,madeca cream,madeca cream,720
2024-02,madeca cream,madeca cream,720
2024-03,madeca cream,madeca cream,720
2024-04,madeca cream,madeca cream,880
2024-05,madeca cream,madeca cream,880
2024-06,madeca cream,madeca cream,1000
2024-07,madeca cream,madeca cream,1000
2024-08,madeca cream,madeca cream,720
2024-09,madeca cream,madeca cream,720
2024-10,madeca cream,madeca cream,720
2024-11,madeca cream,madeca cream,1000
2024-12,madeca cream,madeca cream,1300
2025-01,madeca cream,madeca cream,1000
