company,ticker,q,date,capex_eok
씨티케이,A260930,2023Q4,2023-12-31,22.3
씨티케이,A260930,2024Q1,2024-03-31,7.5
씨티케이,A260930,2024Q2,2024-06-30,1.5
씨티케이,A260930,2024Q3,2024-09-30,5.6
씨티케이,A260930,2024Q4,2024-12-31,2.8
씨티케이,A260930,2025Q1,2025-03-31,263.5
씨티케이,A260930,2025Q2,2025-06-30,-71.7
씨티케이,A260930,2025Q3,2025-09-30,40.8
씨티케이,A260930,2025Q4,2025-12-31,19.6
씨티케이,A260930,2026Q1,2026-03-31,19.4
씨티케이,A260930,2026Q2,2026-06-30,12.5
엔에프씨,A265740,2021Q1,2021-03-31,2.1
엔에프씨,A265740,2021Q2,2021-06-30,5.9
엔에프씨,A265740,2021Q3,2021-09-30,6.9
엔에프씨,A265740,2021Q4,2021-12-31,9.8
엔에프씨,A265740,2022Q1,2022-03-31,2.8
엔에프씨,A265740,2022Q2,2022-06-30,2.3
엔에프씨,A265740,2022Q3,2022-09-30,0.6
엔에프씨,A265740,2022Q4,2022-12-31,4.1
엔에프씨,A265740,2023Q1,2023-03-31,3.9
엔에프씨,A265740,2023Q2,2023-06-30,2.3
엔에프씨,A265740,2023Q3,2023-09-30,0.5
엔에프씨,A265740,2023Q4,2023-12-31,1.2
엔에프씨,A265740,2024Q1,2024-03-31,0.7
엔에프씨,A265740,2024Q2,2024-06-30,0.7
엔에프씨,A265740,2024Q3,2024-09-30,0.7
엔에프씨,A265740,2024Q4,2024-12-31,0.1
엔에프씨,A265740,2025Q1,2025-03-31,0.2
엔에프씨,A265740,2025Q2,2025-06-30,2.4
엔에프씨,A265740,2025Q3,2025-09-30,46.8
엔에프씨,A265740,2025Q4,2025-12-31,6.1
엔에프씨,A265740,2026Q1,2026-03-31,0.5
엔에프씨,A265740,2026Q2,2026-06-30,4.1
잉글우드랩,A950140,2021Q1,2021-03-31,7.3
잉글우드랩,A950140,2021Q2,2021-06-30,6.9
잉글우드랩,A950140,2021Q3,2021-09-30,8.8
잉글우드랩,A950140,2021Q4,2021-12-31,-0.2
잉글우드랩,A950140,2022Q1,2022-03-31,5.7
잉글우드랩,A950140,2022Q2,2022-06-30,7.3
잉글우드랩,A950140,2022Q3,2022-09-30,2.5
잉글우드랩,A950140,2022Q4,2022-12-31,26.2
잉글우드랩,A950140,2023Q1,2023-03-31,1.8
잉글우드랩,A950140,2023Q2,2023-06-30,5.6
잉글우드랩,A950140,2023Q3,2023-09-30,4.5
잉글우드랩,A950140,2023Q4,2023-12-31,14.2
잉글우드랩,A950140,2024Q1,2024-03-31,16.1
잉글우드랩,A950140,2024Q2,2024-06-30,18.9
잉글우드랩,A950140,2024Q3,2024-09-30,5.6
잉글우드랩,A950140,2024Q4,2024-12-31,9.2
잉글우드랩,A950140,2025Q1,2025-03-31,3.7
잉글우드랩,A950140,2025Q2,2025-06-30,18.1
잉글우드랩,A950140,2025Q3,2025-09-30,25.5
잉글우드랩,A950140,2025Q4,2025-12-31,19.2
잉글우드랩,A950140,2026Q1,2026-03-31,10.1
잉글우드랩,A950140,2026Q2,2026-06-30,10.3
제닉,A123330,2021Q1,2021-03-31,0.9
제닉,A123330,2021Q2,2021-06-30,0.8
제닉,A123330,2021Q3,2021-09-30,4.1
제닉,A123330,2021Q4,2021-12-31,0.6
제닉,A123330,2022Q1,2022-03-31,0.1
제닉,A123330,2022Q2,2022-06-30,4.4
제닉,A123330,2022Q3,2022-09-30,4.2
제닉,A123330,2022Q4,2022-12-31,5.6
제닉,A123330,2023Q1,2023-03-31,3.9
제닉,A123330,2023Q2,2023-06-30,3.5
제닉,A123330,2023Q3,2023-09-30,1.0
제닉,A123330,2023Q4,2023-12-31,0.0
제닉,A123330,2024Q1,2024-03-31,0.2
제닉,A123330,2024Q2,2024-06-30,0.9
제닉,A123330,2024Q3,2024-09-30,6.5
제닉,A123330,2024Q4,2024-12-31,9.0
제닉,A123330,2025Q1,2025-03-31,1.0
제닉,A123330,2025Q2,2025-06-30,6.2
제닉,A123330,2025Q3,2025-09-30,10.1
제닉,A123330,2025Q4,2025-12-31,9.5
제닉,A123330,2026Q1,2026-03-31,22.5
제닉,A123330,2026Q2,2026-06-30,30.5
코스맥스,A192820,2021Q1,2021-03-31,111.1
코스맥스,A192820,2021Q2,2021-06-30,104.1
코스맥스,A192820,2021Q3,2021-09-30,100.6
코스맥스,A192820,2021Q4,2021-12-31,91.7
코스맥스,A192820,2022Q1,2022-03-31,103.4
코스맥스,A192820,2022Q2,2022-06-30,89.0
코스맥스,A192820,2022Q3,2022-09-30,416.8
코스맥스,A192820,2022Q4,2022-12-31,232.5
코스맥스,A192820,2023Q1,2023-03-31,204.6
코스맥스,A192820,2023Q2,2023-06-30,161.8
코스맥스,A192820,2023Q3,2023-09-30,155.4
코스맥스,A192820,2023Q4,2023-12-31,341.1
코스맥스,A192820,2024Q1,2024-03-31,228.6
코스맥스,A192820,2024Q2,2024-06-30,474.0
코스맥스,A192820,2024Q3,2024-09-30,376.4
코스맥스,A192820,2024Q4,2024-12-31,570.1
코스맥스,A192820,2025Q1,2025-03-31,331.7
코스맥스,A192820,2025Q2,2025-06-30,493.0
코스맥스,A192820,2025Q3,2025-09-30,575.9
코스맥스,A192820,2025Q4,2025-12-31,469.0
코스맥스,A192820,2026Q1,2026-03-31,834.7
코스맥스,A192820,2026Q2,2026-06-30,388.1
코스메카코리아,A241710,2021Q1,2021-03-31,23.5
코스메카코리아,A241710,2021Q2,2021-06-30,26.3
코스메카코리아,A241710,2021Q3,2021-09-30,17.5
코스메카코리아,A241710,2021Q4,2021-12-31,22.5
코스메카코리아,A241710,2022Q1,2022-03-31,11.8
코스메카코리아,A241710,2022Q2,2022-06-30,22.4
