co,ticker,q,date,rev_eok,ebit_eok
잉글우드랩,A950140,2022Q1,2022-03-31,336.5,9.8
잉글우드랩,A950140,2022Q2,2022-06-30,370.9,26.6
잉글우드랩,A950140,2022Q3,2022-09-30,414.8,35.3
잉글우드랩,A950140,2022Q4,2022-12-31,392.9,27.1
잉글우드랩,A950140,2023Q1,2023-03-31,471.3,56.9
잉글우드랩,A950140,2023Q2,2023-06-30,489.5,61.9
잉글우드랩,A950140,2023Q3,2023-09-30,542.2,91.2
잉글우드랩,A950140,2023Q4,2023-12-31,565.8,78.7
잉글우드랩,A950140,2024Q1,2024-03-31,539.9,68.0
잉글우드랩,A950140,2024Q2,2024-06-30,457.4,42.9
잉글우드랩,A950140,2024Q3,2024-09-30,412.8,40.9
잉글우드랩,A950140,2024Q4,2024-12-31,412.1,36.2
잉글우드랩,A950140,2025Q1,2025-03-31,415.7,44.7
잉글우드랩,A950140,2025Q2,2025-06-30,581.4,101.8
잉글우드랩,A950140,2025Q3,2025-09-30,633.8,135.6
잉글우드랩,A950140,2025Q4,2025-12-31,533.6,91.0
잉글우드랩,A950140,2026Q1,2026-03-31,475.3,53.5
잉글우드랩,A950140,2026Q2,2026-06-30,484.0,81.5
코스맥스,A192820,2016Q1,2016-03-31,1734.5,130.8
코스맥스,A192820,2016Q2,2016-06-30,1977.1,181.8
코스맥스,A192820,2016Q3,2016-09-30,1861.2,99.0
코스맥스,A192820,2016Q4,2016-12-31,1996.8,114.6
코스맥스,A192820,2017Q1,2017-03-31,2191.1,94.1
코스맥스,A192820,2017Q2,2017-06-30,2323.0,143.2
코스맥스,A192820,2017Q3,2017-09-30,2085.3,50.2
코스맥스,A192820,2017Q4,2017-12-31,2240.1,63.8
코스맥스,A192820,2018Q1,2018-03-31,2887.0,104.1
코스맥스,A192820,2018Q2,2018-06-30,3275.3,185.8
코스맥스,A192820,2018Q3,2018-09-30,3146.4,132.5
코스맥스,A192820,2018Q4,2018-12-31,3288.4,101.1
코스맥스,A192820,2019Q1,2019-03-31,3278.2,135.5
코스맥스,A192820,2019Q2,2019-06-30,3323.1,131.6
코스맥스,A192820,2019Q3,2019-09-30,3174.5,104.0
코스맥스,A192820,2019Q4,2019-12-31,3530.7,169.0
코스맥스,A192820,2020Q1,2020-03-31,3284.9,160.4
코스맥스,A192820,2020Q2,2020-06-30,3792.2,262.2
코스맥스,A192820,2020Q3,2020-09-30,3207.0,138.9
코스맥스,A192820,2020Q4,2020-12-31,3544.7,104.9
코스맥스,A192820,2021Q1,2021-03-31,3449.6,232.9
코스맥스,A192820,2021Q2,2021-06-30,4303.6,439.2
코스맥스,A192820,2021Q3,2021-09-30,3949.5,249.7
코스맥스,A192820,2021Q4,2021-12-31,4212.1,304.2
코스맥스,A192820,2022Q1,2022-03-31,3978.5,137.4
코스맥스,A192820,2022Q2,2022-06-30,4050.2,172.3
코스맥스,A192820,2022Q3,2022-09-30,3967.8,197.4
코스맥스,A192820,2022Q4,2022-12-31,4004.8,23.9
코스맥스,A192820,2023Q1,2023-03-31,4032.6,138.1
코스맥스,A192820,2023Q2,2023-06-30,4792.7,460.5
코스맥스,A192820,2023Q3,2023-09-30,4582.7,333.0
코스맥스,A192820,2023Q4,2023-12-31,4367.0,225.2
코스맥스,A192820,2024Q1,2024-03-31,5268.0,454.5
코스맥스,A192820,2024Q2,2024-06-30,5514.5,467.1
코스맥스,A192820,2024Q3,2024-09-30,5298.3,434.1
코스맥스,A192820,2024Q4,2024-12-31,5580.0,398.2
코스맥스,A192820,2025Q1,2025-03-31,5885.7,513.5
코스맥스,A192820,2025Q2,2025-06-30,6235.6,608.1
코스맥스,A192820,2025Q3,2025-09-30,5856.2,427.3
코스맥스,A192820,2025Q4,2025-12-31,6010.1,409.1
코스맥스,A192820,2026Q1,2026-03-31,6820.2,530.3
코스맥스,A192820,2026Q2,2026-06-30,7948.9,737.4
코스메카코리아,A241710,2016Q4,2016-12-31,,
코스메카코리아,A241710,2017Q1,2017-03-31,505.7,48.3
코스메카코리아,A241710,2017Q2,2017-06-30,498.6,52.4
코스메카코리아,A241710,2017Q3,2017-09-30,373.5,4.8
코스메카코리아,A241710,2017Q4,2017-12-31,445.5,4.5
코스메카코리아,A241710,2018Q1,2018-03-31,531.6,6.5
코스메카코리아,A241710,2018Q2,2018-06-30,796.0,96.4
코스메카코리아,A241710,2018Q3,2018-09-30,952.9,59.9
코스메카코리아,A241710,2018Q4,2018-12-31,752.4,-64.5
코스메카코리아,A241710,2019Q1,2019-03-31,851.1,24.4
코스메카코리아,A241710,2019Q2,2019-06-30,995.6,64.2
코스메카코리아,A241710,2019Q3,2019-09-30,783.8,0.3
코스메카코리아,A241710,2019Q4,2019-12-31,839.7,-6.2
코스메카코리아,A241710,2020Q1,2020-03-31,893.3,34.3
코스메카코리아,A241710,2020Q2,2020-06-30,909.4,22.1
코스메카코리아,A241710,2020Q3,2020-09-30,775.3,18.9
코스메카코리아,A241710,2020Q4,2020-12-31,812.5,23.8
코스메카코리아,A241710,2021Q1,2021-03-31,934.7,33.6
코스메카코리아,A241710,2021Q2,2021-06-30,1119.7,87.9
코스메카코리아,A241710,2021Q3,2021-09-30,973.0,65.6
코스메카코리아,A241710,2021Q4,2021-12-31,937.2,13.9
코스메카코리아,A241710,2022Q1,2022-03-31,890.0,6.1
코스메카코리아,A241710,2022Q2,2022-06-30,1004.1,30.6
코스메카코리아,A241710,2022Q3,2022-09-30,1035.4,29.4
코스메카코리아,A241710,2022Q4,2022-12-31,1064.5,37.6
코스메카코리아,A241710,2023Q1,2023-03-31,1159.3,92.5
코스메카코리아,A241710,2023Q2,2023-06-30,1156.5,111.6
코스메카코리아,A241710,2023Q3,2023-09-30,1164.0,137.0
코스메카코리아,A241710,2023Q4,2023-12-31,1227.4,150.4
코스메카코리아,A241710,2024Q1,2024-03-31,1255.9,137.3
코스메카코리아,A241710,2024Q2,2024-06-30,1437.7,180.9
코스메카코리아,A241710,2024Q3,2024-09-30,1266.3,152.1
코스메카코리아,A241710,2024Q4,2024-12-31,1283.4,133.3
코스메카코리아,A241710,2025Q1,2025-03-31,1184.0,
코스메카코리아,A241710,2025Q2,2025-06-30,1617.3,230.2
코스메카코리아,A241710,2025Q3,2025-09-30,1823.7,271.9
코스메카코리아,A241710,2025Q4,2025-12-31,2224.9,210.4
코스메카코리아,A241710,2026Q1,2026-03-31,1851.4,218.8
코스메카코리아,A241710,2026Q2,2026-06-30,2260.8,320.6
한국콜마,A161890,2016Q1,2016-03-31,1486.1,174.7
한국콜마,A161890,2016Q2,2016-06-30,1730.1,215.5
한국콜마,A161890,2016Q3,2016-09-30,1602.1,155.3
한국콜마,A161890,2016Q4,2016-12-31,1856.3,188.9
한국콜마,A161890,2017Q1,2017-03-31,2014.1,206.1
한국콜마,A161890,2017Q2,2017-06-30,2070.5,169.7
한국콜마,A161890,2017Q3,2017-09-30,1942.2,154.1
한국콜마,A161890,2017Q4,2017-12-31,2189.3,140.0
한국콜마,A161890,2018Q1,2018-03-31,2424.9,179.7
한국콜마,A161890,2018Q2,2018-06-30,3600.6,245.7
한국콜마,A161890,2018Q3,2018-09-30,3753.7,77.8
한국콜마,A161890,2018Q4,2018-12-31,3799.5,396.5
한국콜마,A161890,2019Q1,2019-03-31,3805.9,316.9
한국콜마,A161890,2019Q2,2019-06-30,4098.1,380.4
한국콜마,A161890,2019Q3,2019-09-30,3609.3,202.3
한국콜마,A161890,2019Q4,2019-12-31,3893.9,278.5
한국콜마,A161890,2020Q1,2020-03-31,3752.7,298.9
한국콜마,A161890,2020Q2,2020-06-30,3221.1,272.3
한국콜마,A161890,2020Q3,2020-09-30,3176.4,189.0
한국콜마,A161890,2020Q4,2020-12-31,3070.6,456.5
한국콜마,A161890,2021Q1,2021-03-31,3953.0,242.5
