date,evs,eve,ebitda,per,pbr,fcf
2024-02-29,1.3204,25.1942,13.727,243.3333,1.5414,46.4699
2024-03-31,1.2482,19.3347,11.5536,205.3738,1.6439,57.2912
2024-04-30,1.2877,19.9454,11.9185,221.2396,1.7709,59.1005
2024-05-31,1.3916,19.5373,12.3744,259.2548,2.1074,
2024-06-30,1.4642,20.5569,13.0201,287.0753,2.3335,
2024-07-31,1.3958,19.5964,12.4118,260.8676,2.1205,
2024-08-31,1.3831,18.1691,11.9155,260.9892,2.0393,
2024-09-30,1.4784,19.4211,12.7366,298.2733,2.3306,
2024-10-31,1.4425,18.9499,12.4276,284.2417,2.2209,
2024-11-30,1.189,13.7696,9.5521,127.4899,1.6162,278.3169
2024-12-31,1.2115,14.0301,9.7328,133.0434,1.6866,283.5825
2025-01-31,1.2653,14.6531,10.165,146.3236,1.8549,296.1743
2025-02-28,1.2731,14.7437,10.2278,148.2553,1.8794,298.0059
2025-03-31,1.2785,15.1925,10.5085,16.3708,1.8672,
2025-04-30,1.4055,16.7025,11.5529,19.8172,2.2603,
2025-05-31,1.4293,15.5035,11.0047,20.2004,2.4808,137.1653
2025-06-30,1.5861,17.2034,12.2113,24.2891,2.983,152.2051
2025-07-31,1.5646,16.9707,12.0461,23.7293,2.9142,150.146
2025-08-31,1.3554,15.0326,10.5896,18.921,2.213,89.5727
2025-09-30,1.3554,15.0326,10.5896,18.921,2.213,89.5727
2025-10-31,1.3481,14.9521,10.5329,18.7264,2.1903,89.0928
2025-11-30,1.2065,13.4083,9.436,13.8736,1.8285,47.145
2025-12-31,1.1657,12.9542,9.1165,12.9168,1.7024,45.5484
2026-01-31,1.2349,13.7241,9.6583,14.5392,1.9162,48.2556
2026-02-28,1.2918,14.3559,10.103,15.8704,2.0916,50.477
2026-03-31,1.2733,14.4307,10.067,14.3429,1.9706,35.3108
2026-04-30,1.3834,15.6787,10.9376,16.7396,2.2999,38.3645
2026-05-31,1.3435,14.5099,10.2711,12.8538,2.1554,34.3202
2026-06-30,1.4617,15.7858,11.1743,14.9585,2.5084,37.338
2026-07-31,1.4254,15.3939,10.8969,14.3121,2.4,36.4111
2026-08-18,1.7756,19.1759,13.5741,20.5511,3.4462,45.3567
