date,day,rank,title,chain,shows,chain_shows,show_share,screens,chain_screens,screen_share
2024-08-08,1,1,파일럿,기타,267,949,0.281,124,630,0.197
2024-08-08,1,1,파일럿,전체,7606,19511,0.39,1746,7645,0.228
2024-08-08,1,2,사랑의 하츄핑,CGV,1111,8361,0.133,451,3207,0.141
2024-08-08,1,2,사랑의 하츄핑,롯데시네마,868,5337,0.163,320,1965,0.163
2024-08-08,1,2,사랑의 하츄핑,메가박스,503,4586,0.11,187,1730,0.108
2024-08-08,1,2,사랑의 하츄핑,씨네Q,38,278,0.137,14,113,0.124
2024-08-08,1,2,사랑의 하츄핑,기타,82,949,0.086,54,630,0.086
2024-08-08,1,2,사랑의 하츄핑,전체,2602,19511,0.133,1026,7645,0.134
2024-08-08,1,3,리볼버,CGV,837,8361,0.1,323,3207,0.101
2024-08-08,1,3,리볼버,롯데시네마,717,5337,0.134,244,1965,0.124
2024-08-08,1,3,리볼버,메가박스,714,4586,0.156,182,1730,0.105
2024-08-08,1,3,리볼버,씨네Q,37,278,0.133,12,113,0.106
2024-08-08,1,3,리볼버,기타,181,949,0.191,97,630,0.154
2024-08-08,1,3,리볼버,전체,2486,19511,0.127,858,7645,0.112
2024-08-08,1,4,데드풀과 울버린,CGV,721,8361,0.086,296,3207,0.092
2024-08-08,1,4,데드풀과 울버린,롯데시네마,451,5337,0.085,213,1965,0.108
2024-08-08,1,4,데드풀과 울버린,메가박스,464,4586,0.101,190,1730,0.11
2024-08-08,1,4,데드풀과 울버린,씨네Q,26,278,0.094,14,113,0.124
2024-08-08,1,4,데드풀과 울버린,기타,71,949,0.075,57,630,0.09
2024-08-08,1,4,데드풀과 울버린,전체,1733,19511,0.089,770,7645,0.101
2024-08-08,1,5,슈퍼배드 4,CGV,679,8361,0.081,296,3207,0.092
2024-08-08,1,5,슈퍼배드 4,롯데시네마,420,5337,0.079,190,1965,0.097
2024-08-08,1,5,슈퍼배드 4,메가박스,448,4586,0.098,202,1730,0.117
2024-08-08,1,5,슈퍼배드 4,씨네Q,26,278,0.094,10,113,0.088
2024-08-08,1,5,슈퍼배드 4,기타,75,949,0.079,60,630,0.095
2024-08-08,1,5,슈퍼배드 4,전체,1648,19511,0.084,758,7645,0.099
2024-08-09,2,1,파일럿,CGV,3507,8568,0.409,745,3252,0.229
2024-08-09,2,1,파일럿,롯데시네마,2396,5531,0.433,517,1976,0.262
2024-08-09,2,1,파일럿,메가박스,1724,4681,0.368,376,1731,0.217
2024-08-09,2,1,파일럿,씨네Q,123,296,0.416,29,108,0.269
2024-08-09,2,1,파일럿,기타,287,973,0.295,128,628,0.204
2024-08-09,2,1,파일럿,전체,8037,20049,0.401,1795,7695,0.233
2024-08-09,2,2,사랑의 하츄핑,CGV,1266,8568,0.148,472,3252,0.145
2024-08-09,2,2,사랑의 하츄핑,롯데시네마,846,5531,0.153,298,1976,0.151
2024-08-09,2,2,사랑의 하츄핑,메가박스,514,4681,0.11,202,1731,0.117
2024-08-09,2,2,사랑의 하츄핑,씨네Q,41,296,0.139,17,108,0.157
2024-08-09,2,2,사랑의 하츄핑,기타,82,973,0.084,53,628,0.084
2024-08-09,2,2,사랑의 하츄핑,전체,2749,20049,0.137,1042,7695,0.135
2024-08-09,2,3,리볼버,CGV,815,8568,0.095,326,3252,0.1
2024-08-09,2,3,리볼버,롯데시네마,733,5531,0.133,248,1976,0.126
2024-08-09,2,3,리볼버,메가박스,683,4681,0.146,175,1731,0.101
2024-08-09,2,3,리볼버,씨네Q,36,296,0.122,12,108,0.111
2024-08-09,2,3,리볼버,기타,184,973,0.189,95,628,0.151
2024-08-09,2,3,리볼버,전체,2451,20049,0.122,856,7695,0.111
2024-08-09,2,4,데드풀과 울버린,CGV,706,8568,0.082,304,3252,0.093
2024-08-09,2,4,데드풀과 울버린,롯데시네마,478,5531,0.086,212,1976,0.107
2024-08-09,2,4,데드풀과 울버린,메가박스,475,4681,0.101,185,1731,0.107
2024-08-09,2,4,데드풀과 울버린,씨네Q,29,296,0.098,9,108,0.083
2024-08-09,2,4,데드풀과 울버린,기타,76,973,0.078,59,628,0.094
2024-08-09,2,4,데드풀과 울버린,전체,1764,20049,0.088,769,7695,0.1
2024-08-09,2,5,슈퍼배드 4,CGV,644,8568,0.075,294,3252,0.09
2024-08-09,2,5,슈퍼배드 4,롯데시네마,429,5531,0.078,199,1976,0.101
2024-08-09,2,5,슈퍼배드 4,메가박스,436,4681,0.093,201,1731,0.116
2024-08-09,2,5,슈퍼배드 4,씨네Q,27,296,0.091,12,108,0.111
2024-08-09,2,5,슈퍼배드 4,기타,81,973,0.083,61,628,0.097
2024-08-09,2,5,슈퍼배드 4,전체,1617,20049,0.081,767,7695,0.1
2024-08-10,3,1,파일럿,CGV,3633,9020,0.403,772,3454,0.224
2024-08-10,3,1,파일럿,롯데시네마,2615,6134,0.426,519,2112,0.246
2024-08-10,3,1,파일럿,메가박스,1913,5058,0.378,418,1830,0.228
2024-08-10,3,1,파일럿,씨네Q,138,335,0.412,28,121,0.231
2024-08-10,3,1,파일럿,기타,312,1075,0.29,128,669,0.191
2024-08-10,3,1,파일럿,전체,8611,21622,0.398,1865,8186,0.228
2024-08-10,3,2,사랑의 하츄핑,CGV,1599,9020,0.177,511,3454,0.148
2024-08-10,3,2,사랑의 하츄핑,롯데시네마,1129,6134,0.184,322,2112,0.152
2024-08-10,3,2,사랑의 하츄핑,메가박스,728,5058,0.144,242,1830,0.132
2024-08-10,3,2,사랑의 하츄핑,씨네Q,55,335,0.164,17,121,0.14
2024-08-10,3,2,사랑의 하츄핑,기타,106,1075,0.099,61,669,0.091
2024-08-10,3,2,사랑의 하츄핑,전체,3617,21622,0.167,1153,8186,0.141
2024-08-10,3,3,리볼버,CGV,714,9020,0.079,327,3454,0.095
2024-08-10,3,3,리볼버,롯데시네마,620,6134,0.101,233,2112,0.11
2024-08-10,3,3,리볼버,메가박스,644,5058,0.127,182,1830,0.099
2024-08-10,3,3,리볼버,씨네Q,37,335,0.11,16,121,0.132
2024-08-10,3,3,리볼버,기타,193,1075,0.18,97,669,0.145
2024-08-10,3,3,리볼버,전체,2208,21622,0.102,855,8186,0.104
2024-08-10,3,4,데드풀과 울버린,CGV,677,9020,0.075,305,3454,0.088
2024-08-10,3,4,데드풀과 울버린,롯데시네마,476,6134,0.078,220,2112,0.104
2024-08-10,3,4,데드풀과 울버린,메가박스,457,5058,0.09,187,1830,0.102
2024-08-10,3,4,데드풀과 울버린,씨네Q,26,335,0.078,12,121,0.099
2024-08-10,3,4,데드풀과 울버린,기타,79,1075,0.073,63,669,0.094
2024-08-10,3,4,데드풀과 울버린,전체,1715,21622,0.079,787,8186,0.096
2024-08-10,3,5,슈퍼배드 4,CGV,601,9020,0.067,294,3454,0.085
2024-08-10,3,5,슈퍼배드 4,롯데시네마,429,6134,0.07,205,2112,0.097
2024-08-10,3,5,슈퍼배드 4,메가박스,446,5058,0.088,194,1830,0.106
2024-08-10,3,5,슈퍼배드 4,씨네Q,31,335,0.093,12,121,0.099
2024-08-10,3,5,슈퍼배드 4,기타,109,1075,0.101,80,669,0.12
2024-08-10,3,5,슈퍼배드 4,전체,1616,21622,0.075,785,8186,0.096
2024-08-11,4,1,파일럿,CGV,3472,8661,0.401,764,3387,0.226
2024-08-11,4,1,파일럿,롯데시네마,2372,5658,0.419,512,2071,0.247
2024-08-11,4,1,파일럿,메가박스,1860,4907,0.379,413,1786,0.231
2024-08-11,4,1,파일럿,씨네Q,130,310,0.419,28,113,0.248
2024-08-11,4,1,파일럿,기타,303,1051,0.288,125,663,0.189
2024-08-11,4,1,파일럿,전체,8137,20587,0.395,1842,8020,0.23
2024-08-11,4,2,사랑의 하츄핑,CGV,1613,8661,0.186,514,3387,0.152
2024-08-11,4,2,사랑의 하츄핑,롯데시네마,1097,5658,0.194,326,2071,0.157
2024-08-11,4,2,사랑의 하츄핑,메가박스,715,4907,0.146,238,1786,0.133
2024-08-11,4,2,사랑의 하츄핑,씨네Q,54,310,0.174,18,113,0.159
2024-08-11,4,2,사랑의 하츄핑,기타,107,1051,0.102,63,663,0.095
2024-08-11,4,2,사랑의 하츄핑,전체,3586,20587,0.174,1159,8020,0.145
2024-08-11,4,3,리볼버,CGV,643,8661,0.074,310,3387,0.092
2024-08-11,4,3,리볼버,롯데시네마,563,5658,0.1,226,2071,0.109
2024-08-11,4,3,리볼버,메가박스,596,4907,0.121,179,1786,0.1
2024-08-11,4,3,리볼버,씨네Q,31,310,0.1,15,113,0.133
2024-08-11,4,3,리볼버,기타,181,1051,0.172,94,663,0.142
2024-08-11,4,3,리볼버,전체,2014,20587,0.098,824,8020,0.103
2024-08-11,4,4,데드풀과 울버린,CGV,635,8661,0.073,299,3387,0.088
2024-08-11,4,4,데드풀과 울버린,롯데시네마,427,5658,0.075,213,2071,0.103
2024-08-11,4,4,데드풀과 울버린,메가박스,441,4907,0.09,184,1786,0.103
2024-08-11,4,4,데드풀과 울버린,씨네Q,21,310,0.068,8,113,0.071
2024-08-11,4,4,데드풀과 울버린,기타,83,1051,0.079,63,663,0.095
2024-08-11,4,4,데드풀과 울버린,전체,1607,20587,0.078,767,8020,0.096
2024-08-11,4,5,슈퍼배드 4,CGV,582,8661,0.067,295,3387,0.087
2024-08-11,4,5,슈퍼배드 4,롯데시네마,405,5658,0.072,204,2071,0.099
2024-08-11,4,5,슈퍼배드 4,메가박스,441,4907,0.09,187,1786,0.105
2024-08-11,4,5,슈퍼배드 4,씨네Q,29,310,0.094,11,113,0.097
2024-08-11,4,5,슈퍼배드 4,기타,106,1051,0.101,78,663,0.118
2024-08-11,4,5,슈퍼배드 4,전체,1563,20587,0.076,775,8020,0.097
2024-08-12,5,1,파일럿,CGV,3308,7846,0.422,718,3045,0.236
2024-08-12,5,1,파일럿,롯데시네마,2235,5094,0.439,485,1827,0.265
2024-08-12,5,1,파일럿,메가박스,1661,4372,0.38,368,1670,0.22
2024-08-12,5,1,파일럿,씨네Q,87,202,0.431,21,78,0.269
2024-08-12,5,1,파일럿,기타,185,618,0.299,75,403,0.186
2024-08-12,5,1,파일럿,전체,7476,18132,0.412,1667,7023,0.237
2024-08-12,5,2,사랑의 하츄핑,CGV,1147,7846,0.146,400,3045,0.131
2024-08-12,5,2,사랑의 하츄핑,롯데시네마,722,5094,0.142,251,1827,0.137
2024-08-12,5,2,사랑의 하츄핑,메가박스,438,4372,0.1,173,1670,0.104
2024-08-12,5,2,사랑의 하츄핑,씨네Q,25,202,0.124,10,78,0.128
2024-08-12,5,2,사랑의 하츄핑,기타,62,618,0.1,39,403,0.097
2024-08-12,5,2,사랑의 하츄핑,전체,2394,18132,0.132,873,7023,0.124
2024-08-12,5,3,리볼버,CGV,679,7846,0.087,305,3045,0.1
2024-08-12,5,3,리볼버,롯데시네마,564,5094,0.111,209,1827,0.114
2024-08-12,5,3,리볼버,메가박스,593,4372,0.136,179,1670,0.107
2024-08-12,5,3,리볼버,씨네Q,23,202,0.114,8,78,0.103
2024-08-12,5,3,리볼버,기타,94,618,0.152,49,403,0.122
2024-08-12,5,3,리볼버,전체,1953,18132,0.108,750,7023,0.107
2024-08-12,5,4,데드풀과 울버린,CGV,597,7846,0.076,286,3045,0.094
2024-08-12,5,4,데드풀과 울버린,롯데시네마,439,5094,0.086,202,1827,0.111
2024-08-12,5,4,데드풀과 울버린,메가박스,429,4372,0.098,185,1670,0.111
2024-08-12,5,4,데드풀과 울버린,씨네Q,15,202,0.074,6,78,0.077
2024-08-12,5,4,데드풀과 울버린,기타,38,618,0.061,30,403,0.074
2024-08-12,5,4,데드풀과 울버린,전체,1518,18132,0.084,709,7023,0.101
2024-08-12,5,5,슈퍼배드 4,CGV,584,7846,0.074,290,3045,0.095
2024-08-12,5,5,슈퍼배드 4,롯데시네마,432,5094,0.085,194,1827,0.106
2024-08-12,5,5,슈퍼배드 4,메가박스,419,4372,0.096,182,1670,0.109
2024-08-12,5,5,슈퍼배드 4,씨네Q,17,202,0.084,7,78,0.09
2024-08-12,5,5,슈퍼배드 4,기타,39,618,0.063,35,403,0.087
2024-08-12,5,5,슈퍼배드 4,전체,1491,18132,0.082,708,7023,0.101
2024-08-13,6,1,파일럿,CGV,3292,7877,0.418,725,3121,0.232
2024-08-13,6,1,파일럿,롯데시네마,2179,5065,0.43,481,1887,0.255
2024-08-13,6,1,파일럿,메가박스,1659,4341,0.382,361,1651,0.219
2024-08-13,6,1,파일럿,씨네Q,88,211,0.417,23,87,0.264
2024-08-13,6,1,파일럿,기타,214,766,0.279,92,515,0.179
2024-08-13,6,1,파일럿,전체,7432,18260,0.407,1682,7261,0.232
2024-08-13,6,2,사랑의 하츄핑,CGV,1061,7877,0.135,386,3121,0.124
2024-08-13,6,2,사랑의 하츄핑,롯데시네마,645,5065,0.127,241,1887,0.128
2024-08-13,6,2,사랑의 하츄핑,메가박스,400,4341,0.092,169,1651,0.102
2024-08-13,6,2,사랑의 하츄핑,씨네Q,26,211,0.123,12,87,0.138
2024-08-13,6,2,사랑의 하츄핑,기타,64,766,0.084,45,515,0.087
2024-08-13,6,2,사랑의 하츄핑,전체,2196,18260,0.12,853,7261,0.117
2024-08-13,6,3,리볼버,CGV,705,7877,0.09,308,3121,0.099
2024-08-13,6,3,리볼버,롯데시네마,538,5065,0.106,212,1887,0.112
2024-08-13,6,3,리볼버,메가박스,583,4341,0.134,169,1651,0.102
2024-08-13,6,3,리볼버,씨네Q,25,211,0.118,9,87,0.103
2024-08-13,6,3,리볼버,기타,121,766,0.158,64,515,0.124
2024-08-13,6,3,리볼버,전체,1972,18260,0.108,762,7261,0.105
2024-08-13,6,4,데드풀과 울버린,CGV,612,7877,0.078,296,3121,0.095
2024-08-13,6,4,데드풀과 울버린,롯데시네마,474,5065,0.094,223,1887,0.118
2024-08-13,6,4,데드풀과 울버린,메가박스,436,4341,0.1,184,1651,0.111
2024-08-13,6,4,데드풀과 울버린,씨네Q,21,211,0.1,8,87,0.092
2024-08-13,6,4,데드풀과 울버린,기타,55,766,0.072,44,515,0.085
2024-08-13,6,4,데드풀과 울버린,전체,1598,18260,0.088,755,7261,0.104
2024-08-13,6,5,슈퍼배드 4,CGV,602,7877,0.076,301,3121,0.096
2024-08-13,6,5,슈퍼배드 4,롯데시네마,473,5065,0.093,218,1887,0.116
2024-08-13,6,5,슈퍼배드 4,메가박스,408,4341,0.094,183,1651,0.111
2024-08-13,6,5,슈퍼배드 4,씨네Q,14,211,0.066,7,87,0.08
2024-08-13,6,5,슈퍼배드 4,기타,52,766,0.068,43,515,0.083
2024-08-13,6,5,슈퍼배드 4,전체,1549,18260,0.085,752,7261,0.104
2024-08-14,7,1,행복의 나라,CGV,1796,8310,0.216,402,3079,0.131
2024-08-14,7,1,행복의 나라,롯데시네마,1352,5621,0.241,320,2010,0.159
2024-08-14,7,1,행복의 나라,메가박스,1048,4571,0.229,251,1719,0.146
2024-08-14,7,1,행복의 나라,씨네Q,62,275,0.225,18,111,0.162
2024-08-14,7,1,행복의 나라,기타,205,946,0.217,105,667,0.157
2024-08-14,7,1,행복의 나라,전체,4463,19723,0.226,1096,7586,0.144
2024-08-14,7,2,파일럿,CGV,1349,8310,0.162,333,3079,0.108
2024-08-14,7,2,파일럿,롯데시네마,1236,5621,0.22,333,2010,0.166
2024-08-14,7,2,파일럿,메가박스,752,4571,0.165,212,1719,0.123
2024-08-14,7,2,파일럿,씨네Q,64,275,0.233,20,111,0.18
2024-08-14,7,2,파일럿,기타,126,946,0.133,86,667,0.129
2024-08-14,7,2,파일럿,전체,3527,19723,0.179,984,7586,0.13
2024-08-14,7,3,에이리언: 로물루스,CGV,1274,8310,0.153,534,3079,0.173
2024-08-14,7,3,에이리언: 로물루스,롯데시네마,773,5621,0.138,301,2010,0.15
2024-08-14,7,3,에이리언: 로물루스,메가박스,682,4571,0.149,221,1719,0.129
2024-08-14,7,3,에이리언: 로물루스,씨네Q,31,275,0.113,14,111,0.126
2024-08-14,7,3,에이리언: 로물루스,기타,79,946,0.084,38,667,0.057
2024-08-14,7,3,에이리언: 로물루스,전체,2839,19723,0.144,1108,7586,0.146
2024-08-14,7,4,빅토리,CGV,1235,8310,0.149,292,3079,0.095
2024-08-14,7,4,빅토리,롯데시네마,725,5621,0.129,220,2010,0.109
2024-08-14,7,4,빅토리,메가박스,688,4571,0.151,184,1719,0.107
2024-08-14,7,4,빅토리,씨네Q,42,275,0.153,15,111,0.135
2024-08-14,7,4,빅토리,기타,96,946,0.101,65,667,0.097
2024-08-14,7,4,빅토리,전체,2786,19723,0.141,776,7586,0.102
2024-08-14,7,5,트위스터스,CGV,902,8310,0.109,395,3079,0.128
2024-08-14,7,5,트위스터스,롯데시네마,564,5621,0.1,183,2010,0.091
2024-08-14,7,5,트위스터스,메가박스,490,4571,0.107,182,1719,0.106
2024-08-14,7,5,트위스터스,씨네Q,26,275,0.095,11,111,0.099
2024-08-14,7,5,트위스터스,기타,44,946,0.047,27,667,0.04
2024-08-14,7,5,트위스터스,전체,2026,19723,0.103,798,7586,0.105
2024-08-15,8,1,행복의 나라,CGV,1631,8523,0.191,402,3433,0.117
2024-08-15,8,1,행복의 나라,롯데시네마,1297,6118,0.212,309,2296,0.135
2024-08-15,8,1,행복의 나라,메가박스,997,4838,0.206,252,1952,0.129
2024-08-15,8,1,행복의 나라,씨네Q,54,314,0.172,15,140,0.107
2024-08-15,8,1,행복의 나라,기타,225,1064,0.211,109,730,0.149
2024-08-15,8,1,행복의 나라,전체,4204,20857,0.202,1087,8551,0.127
2024-08-15,8,2,파일럿,CGV,1442,8523,0.169,403,3433,0.117
2024-08-15,8,2,파일럿,롯데시네마,1313,6118,0.215,346,2296,0.151
2024-08-15,8,2,파일럿,메가박스,832,4838,0.172,256,1952,0.131
2024-08-15,8,2,파일럿,씨네Q,75,314,0.239,26,140,0.186
2024-08-15,8,2,파일럿,기타,145,1064,0.136,94,730,0.129
2024-08-15,8,2,파일럿,전체,3807,20857,0.183,1125,8551,0.132
2024-08-15,8,3,에이리언: 로물루스,CGV,1277,8523,0.15,541,3433,0.158
2024-08-15,8,3,에이리언: 로물루스,롯데시네마,844,6118,0.138,318,2296,0.139
2024-08-15,8,3,에이리언: 로물루스,메가박스,730,4838,0.151,251,1952,0.129
2024-08-15,8,3,에이리언: 로물루스,씨네Q,40,314,0.127,17,140,0.121
2024-08-15,8,3,에이리언: 로물루스,기타,86,1064,0.081,48,730,0.066
2024-08-15,8,3,에이리언: 로물루스,전체,2977,20857,0.143,1175,8551,0.137
2024-08-15,8,4,빅토리,CGV,1058,8523,0.124,271,3433,0.079
2024-08-15,8,4,빅토리,롯데시네마,721,6118,0.118,232,2296,0.101
2024-08-15,8,4,빅토리,메가박스,652,4838,0.135,195,1952,0.1
2024-08-15,8,4,빅토리,씨네Q,40,314,0.127,15,140,0.107
2024-08-15,8,4,빅토리,기타,108,1064,0.102,76,730,0.104
2024-08-15,8,4,빅토리,전체,2579,20857,0.124,789,8551,0.092
2024-08-15,8,5,트위스터스,CGV,827,8523,0.097,382,3433,0.111
2024-08-15,8,5,트위스터스,롯데시네마,512,6118,0.084,180,2296,0.078
2024-08-15,8,5,트위스터스,메가박스,429,4838,0.089,179,1952,0.092
2024-08-15,8,5,트위스터스,씨네Q,26,314,0.083,13,140,0.093
2024-08-15,8,5,트위스터스,기타,48,1064,0.045,29,730,0.04
2024-08-15,8,5,트위스터스,전체,1842,20857,0.088,783,8551,0.092
2024-08-16,9,1,파일럿,CGV,1594,8391,0.19,435,3346,0.13
2024-08-16,9,1,파일럿,롯데시네마,1385,5898,0.235,366,2202,0.166
2024-08-16,9,1,파일럿,메가박스,859,4711,0.182,255,1912,0.133
2024-08-16,9,1,파일럿,씨네Q,67,282,0.238,22,124,0.177
2024-08-16,9,1,파일럿,기타,143,996,0.144,95,712,0.133
2024-08-16,9,1,파일럿,전체,4048,20278,0.2,1173,8296,0.141
2024-08-16,9,2,행복의 나라,CGV,1465,8391,0.175,356,3346,0.106
2024-08-16,9,2,행복의 나라,롯데시네마,1279,5898,0.217,305,2202,0.139
2024-08-16,9,2,행복의 나라,메가박스,907,4711,0.193,222,1912,0.116
2024-08-16,9,2,행복의 나라,씨네Q,52,282,0.184,14,124,0.113
2024-08-16,9,2,행복의 나라,기타,207,996,0.208,110,712,0.154
2024-08-16,9,2,행복의 나라,전체,3910,20278,0.193,1007,8296,0.121
2024-08-16,9,3,에이리언: 로물루스,CGV,1508,8391,0.18,583,3346,0.174
2024-08-16,9,3,에이리언: 로물루스,롯데시네마,919,5898,0.156,335,2202,0.152
2024-08-16,9,3,에이리언: 로물루스,메가박스,823,4711,0.175,283,1912,0.148
2024-08-16,9,3,에이리언: 로물루스,씨네Q,53,282,0.188,18,124,0.145
2024-08-16,9,3,에이리언: 로물루스,기타,80,996,0.08,43,712,0.06
2024-08-16,9,3,에이리언: 로물루스,전체,3383,20278,0.167,1262,8296,0.152
2024-08-16,9,4,빅토리,CGV,988,8391,0.118,267,3346,0.08
2024-08-16,9,4,빅토리,롯데시네마,676,5898,0.115,213,2202,0.097
2024-08-16,9,4,빅토리,메가박스,602,4711,0.128,185,1912,0.097
2024-08-16,9,4,빅토리,씨네Q,26,282,0.092,14,124,0.113
2024-08-16,9,4,빅토리,기타,103,996,0.103,73,712,0.103
2024-08-16,9,4,빅토리,전체,2395,20278,0.118,752,8296,0.091
2024-08-16,9,5,트위스터스,CGV,849,8391,0.101,385,3346,0.115
2024-08-16,9,5,트위스터스,롯데시네마,535,5898,0.091,189,2202,0.086
2024-08-16,9,5,트위스터스,메가박스,475,4711,0.101,190,1912,0.099
2024-08-16,9,5,트위스터스,씨네Q,26,282,0.092,13,124,0.105
2024-08-16,9,5,트위스터스,기타,46,996,0.046,29,712,0.041
2024-08-16,9,5,트위스터스,전체,1931,20278,0.095,806,8296,0.097
2024-08-17,10,1,파일럿,CGV,1793,8701,0.206,521,3658,0.142
2024-08-17,10,1,파일럿,롯데시네마,1514,6170,0.245,406,2422,0.168
2024-08-17,10,1,파일럿,메가박스,974,4918,0.198,293,2103,0.139
2024-08-17,10,1,파일럿,씨네Q,78,322,0.242,26,139,0.187
2024-08-17,10,1,파일럿,기타,156,1072,0.146,93,744,0.125
2024-08-17,10,1,파일럿,전체,4515,21183,0.213,1339,9066,0.148
2024-08-17,10,2,에이리언: 로물루스,CGV,1724,8701,0.198,642,3658,0.176
2024-08-17,10,2,에이리언: 로물루스,롯데시네마,1017,6170,0.165,376,2422,0.155
2024-08-17,10,2,에이리언: 로물루스,메가박스,968,4918,0.197,322,2103,0.153
2024-08-17,10,2,에이리언: 로물루스,씨네Q,60,322,0.186,22,139,0.158
2024-08-17,10,2,에이리언: 로물루스,기타,92,1072,0.086,48,744,0.065
2024-08-17,10,2,에이리언: 로물루스,전체,3861,21183,0.182,1410,9066,0.156
2024-08-17,10,3,행복의 나라,CGV,1265,8701,0.145,341,3658,0.093
2024-08-17,10,3,행복의 나라,롯데시네마,1141,6170,0.185,281,2422,0.116
2024-08-17,10,3,행복의 나라,메가박스,795,4918,0.162,230,2103,0.109
2024-08-17,10,3,행복의 나라,씨네Q,54,322,0.168,15,139,0.108
2024-08-17,10,3,행복의 나라,기타,221,1072,0.206,115,744,0.155
2024-08-17,10,3,행복의 나라,전체,3476,21183,0.164,982,9066,0.108
2024-08-17,10,4,빅토리,CGV,811,8701,0.093,248,3658,0.068
2024-08-17,10,4,빅토리,롯데시네마,495,6170,0.08,194,2422,0.08
2024-08-17,10,4,빅토리,메가박스,502,4918,0.102,185,2103,0.088
2024-08-17,10,4,빅토리,씨네Q,35,322,0.109,16,139,0.115
2024-08-17,10,4,빅토리,기타,112,1072,0.104,76,744,0.102
2024-08-17,10,4,빅토리,전체,1955,21183,0.092,719,9066,0.079
2024-08-17,10,5,트위스터스,CGV,845,8701,0.097,414,3658,0.113
2024-08-17,10,5,트위스터스,롯데시네마,517,6170,0.084,214,2422,0.088
2024-08-17,10,5,트위스터스,메가박스,447,4918,0.091,201,2103,0.096
2024-08-17,10,5,트위스터스,씨네Q,28,322,0.087,14,139,0.101
2024-08-17,10,5,트위스터스,기타,47,1072,0.044,31,744,0.042
2024-08-17,10,5,트위스터스,전체,1884,21183,0.089,874,9066,0.096
2024-08-18,11,1,파일럿,CGV,1732,8367,0.207,497,3573,0.139
2024-08-18,11,1,파일럿,롯데시네마,1435,5840,0.246,398,2407,0.165
2024-08-18,11,1,파일럿,메가박스,921,4738,0.194,302,2096,0.144
2024-08-18,11,1,파일럿,씨네Q,67,303,0.221,23,137,0.168
2024-08-18,11,1,파일럿,기타,152,1058,0.144,88,730,0.121
2024-08-18,11,1,파일럿,전체,4307,20306,0.212,1308,8943,0.146
2024-08-18,11,2,에이리언: 로물루스,CGV,1676,8367,0.2,639,3573,0.179
2024-08-18,11,2,에이리언: 로물루스,롯데시네마,1012,5840,0.173,396,2407,0.165
