date,price
2024-11-20,12900
2024-11-21,13170
2024-11-22,13250
2024-11-25,13330
2024-11-26,12950
2024-11-27,13100
2024-11-28,12900
2024-11-29,12830
2024-12-02,13010
2024-12-03,12950
2024-12-04,13020
2024-12-05,12140
2024-12-06,12190
2024-12-09,11480
2024-12-10,12740
2024-12-11,13810
2024-12-12,13090
2024-12-13,13280
2024-12-16,13430
2024-12-17,13170
2024-12-18,13240
2024-12-19,13240
2024-12-20,13300
2024-12-23,13610
2024-12-24,13230
2024-12-26,12400
2024-12-27,12220
2024-12-30,12730
2025-01-02,13220
2025-01-03,13150
2025-01-06,13470
2025-01-07,13300
2025-01-08,13160
2025-01-09,13020
2025-01-10,12860
2025-01-13,12760
2025-01-14,12990
2025-01-15,14160
2025-01-16,13960
2025-01-17,14140
2025-01-20,14590
2025-01-21,14770
2025-01-22,15350
2025-01-23,15650
2025-01-24,15390
2025-01-31,15240
2025-02-03,14700
2025-02-04,15010
2025-02-05,15490
2025-02-06,14920
2025-02-07,15230
2025-02-10,19790
2025-02-11,21050
2025-02-12,21850
2025-02-13,21000
2025-02-14,22350
2025-02-17,23850
2025-02-18,23950
2025-02-19,22800
2025-02-20,24600
2025-02-21,24400
2025-02-24,24250
2025-02-25,28300
2025-02-26,28300
2025-02-27,27350
2025-02-28,27000
2025-03-04,25600
2025-03-05,26500
2025-03-06,27250
2025-03-07,28750
2025-03-10,27750
2025-03-11,26800
2025-03-12,29200
2025-03-13,30900
2025-03-14,28850
2025-03-17,28400
2025-03-18,30500
2025-03-19,29400
2025-03-20,30100
2025-03-21,31700
2025-03-24,31350
2025-03-25,32000
2025-03-26,29950
2025-03-27,28300
2025-03-28,29050
2025-03-31,29500
2025-04-01,29300
2025-04-02,28100
2025-04-03,28200
2025-04-04,30200
2025-04-07,28550
2025-04-08,29400
2025-04-09,27450
2025-04-10,34300
2025-04-11,35450
2025-04-14,35150
2025-04-15,33350
2025-04-16,34600
2025-04-17,36600
2025-04-18,36050
2025-04-21,36100
2025-04-22,35600
2025-04-23,36400
2025-04-24,37350
2025-04-25,37600
2025-04-28,37450
2025-04-29,37800
2025-04-30,38750
2025-05-02,38350
2025-05-07,36800
2025-05-08,40100
2025-05-09,39050
2025-05-12,37850
2025-05-13,39100
2025-05-14,50800
2025-05-15,62000
2025-05-16,62500
2025-05-19,68000
2025-05-20,67000
2025-05-21,65500
2025-05-22,64800
2025-05-23,67100
2025-05-26,70500
2025-05-27,69200
2025-05-28,68400
2025-05-29,70000
2025-05-30,75200
2025-06-02,78000
2025-06-04,78800
2025-06-05,78800
2025-06-09,73000
2025-06-10,75700
2025-06-11,71500
2025-06-12,78900
2025-06-13,78900
2025-06-16,82500
2025-06-17,85100
2025-06-18,82600
2025-06-19,79900
2025-06-20,89400
2025-06-23,86300
2025-06-24,87100
2025-06-25,94800
2025-06-26,91500
2025-06-27,90200
2025-06-30,91900
2025-07-01,86000
2025-07-02,79100
2025-07-03,74700
2025-07-04,75000
2025-07-07,77500
2025-07-08,85500
2025-07-09,85200
2025-07-10,78200
2025-07-11,80000
2025-07-14,77200
2025-07-15,76600
2025-07-16,74900
2025-07-17,72500
2025-07-18,72700
2025-07-21,73500
2025-07-22,72100
2025-07-23,72700
2025-07-24,71700
2025-07-25,73500
2025-07-28,75900
2025-07-29,74200
2025-07-30,73600
2025-07-31,78000
2025-08-01,73600
2025-08-04,75300
2025-08-05,76200
2025-08-06,74800
2025-08-07,78000
2025-08-08,82500
2025-08-11,77500
2025-08-12,82000
2025-08-13,74700
2025-08-14,73500
2025-08-18,61600
2025-08-19,59100
2025-08-20,56600
2025-08-21,58800
2025-08-22,62000
2025-08-25,62900
2025-08-26,61500
2025-08-27,60700
2025-08-28,60000
2025-08-29,58000
2025-09-01,56900
2025-09-02,54800
2025-09-03,52900
2025-09-04,53200
2025-09-05,55900
2025-09-08,56300
2025-09-09,54800
2025-09-10,54200
2025-09-11,54400
2025-09-12,54800
2025-09-15,52700
2025-09-16,52000
2025-09-17,52900
2025-09-18,50800
2025-09-19,53200
2025-09-22,55400
2025-09-23,54900
2025-09-24,53400
2025-09-25,56200
2025-09-26,56600
2025-09-29,56900
2025-09-30,61700
2025-10-01,60000
2025-10-02,58100
2025-10-10,59600
2025-10-13,63100
2025-10-14,60200
2025-10-15,60000
2025-10-16,56100
2025-10-17,51400
2025-10-20,54800
2025-10-21,52300
2025-10-22,51600
2025-10-23,51800
2025-10-24,62200
2025-10-27,55800
2025-10-28,54300
2025-10-29,53800
2025-10-30,55600
2025-10-31,57000
2025-11-03,53400
2025-11-04,54800
2025-11-05,53000
2025-11-06,50600
2025-11-07,47800
2025-11-10,45400
2025-11-11,43700
2025-11-12,43350
2025-11-13,46750
2025-11-14,49200
2025-11-17,49500
2025-11-18,42000
2025-11-19,41250
2025-11-20,44200
2025-11-21,41750
2025-11-24,42200
2025-11-25,41450
2025-11-26,41650
2025-11-27,42700
2025-11-28,42450
2025-12-01,40600
2025-12-02,40000
2025-12-03,38900
2025-12-04,38250
