series,year,month,value,unit,src
중국,2025,6,62.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,7,56.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,8,63.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,9,74.8,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,10,71.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,11,77.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2025,12,87.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,1,41.1,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,2,28.7,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,3,57.6,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,4,62.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,5,70.3,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
중국,2026,6,78.9,GWh,SNE Research via IBK투자증권_자동차_자동차2차전지 - Monthly_20260804 (1)
